Proverb_Num,Author,Proverb
1,coco chanel,Success is most often achieved by those who don't know that failure is inevitable
2,john wooden,Things work out best for those who make the best of how things work out
3,ernest hemingway,Courage is grace under pressure
4,jim rohn,"If you are not willing to risk the usual, you will have to settle for the ordinary"
5,albert einstein,"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning"
6,swami vivekananda,"Take up one idea. Make that one idea your life -- think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body be full of that idea, and just leave every other idea alone. This is the way to success"
7,ellen degeneres,Sometimes you can't see yourself clearly until you see yourself through the eyes of others
8,walt disney,All our dreams can come true if we have the courage to pursue them
9,confucius,"It does not matter how slowly you go, so long as you do not stop"
10,winston churchill,Success is walking from failure to failure with no loss of enthusiasm
11,warren buffett,Someone is sitting in the shade today because someone planted a tree a long time ago
12,vaibhav shah,"Whenever you see a successful person, you only see the public glories, never the private sacrifices to reach them"
13,dr. seuss,"Don't cry because it's over, smile because it happened"
14,denzel washington,"Success? I don't know what that word means. I'm happy. But success, that goes back to what in somebody's eyes success means. For me, success is inner peace. That's a good day for me"
15,mae west,"You only live once, but if you do it right, once is enough"
16,chris grosser,Opportunities don't happen. You create them
17,christopher reeve,"Once you choose hope, anything's possible"
18,albert einstein,"Try not to become a person of success, but rather try to become a person of value"
19,nelson mandela,"There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires"
20,charles darwin,"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change"
21,helen keller,The best and most beautiful things in the world cannot be seen or even touched -- they must be felt with the heart
22,eleanor roosevelt,Great minds discuss ideas; average minds discuss events; small minds discuss people
23,mahatma gandhi,Live as if you were to die tomorrow. Learn as if you were to live forever
24,frank sinatra,The best revenge is massive success
25,walt disney,The difference between winning and losing is most often not quitting
26,thomas edison,"I have not failed. I've just found 10,000 ways that won't work"
27,malcolm forbes,When you cease to dream you cease to live
28,david brinkley,A successful man is one who can lay a firm foundation with the bricks others have thrown at him
29,jonathan swift,May you live every day of your life
30,eleanor roosevelt,No one can make you feel inferior without your consent
31,oprah winfrey,Failure is another steppingstone to greatness
32,henry ford,"The whole secret of a successful life is to find out what is one's destiny to do, and then do it"
33,jeff bezos,"If you're not stubborn, you'll give up on experiments too soon. And if you're not flexible, you'll pound your head against the wall and you won't see a different solution to a problem you're trying to solve"
34,winston churchill,"If you're going through hell, keep going"
35,coco chanel,In order to be irreplaceable one must always be different
36,oscar wilde,What seems to us as bitter trials are often blessings in disguise
